Vehicle_Make_and_Model,Calendar_Year,count,per_1K,prop_num_change,rank,previous_rank
Mazda MX-30,2023,135,5.1000000000000005,,32.0,21.0
Mitsubishi Outlander PHEV,2019,2650,78.8,-51.5,4.0,
Mitsubishi Outlander PHEV,2020,2421,62.0,-51.5,5.0,4.0
Mitsubishi Outlander PHEV,2021,1971,36.2,-51.5,7.0,5.0
Mitsubishi Outlander PHEV,2022,1570,27.3,-51.5,11.0,7.0
Mitsubishi Outlander PHEV,2023,2705,102.0,-51.5,3.0,11.0
Mitsubishi i-MiEV,2021,1,0.0,,34.0,
Nissan Ariya,2023,394,14.9,,18.0,
Nissan Leaf,2019,2222,66.10000000000001,-40.60000000000001,5.0,
Nissan Leaf,2020,1498,38.4,-40.60000000000001,7.0,5.0
Nissan Leaf,2021,1341,24.6,-40.60000000000001,10.0,7.0
Nissan Leaf,2022,1467,25.5,-40.60000000000001,14.0,10.0
Nissan Leaf,2023,574,21.7,-40.60000000000001,14.0,14.0
Polestar 2,2022,1301,22.599999999999998,,16.0,
Polestar 2,2023,724,27.3,,11.0,16.0
Smart Electric,2019,176,5.2,,16.0,
Smart Electric,2020,11,0.3,,25.0,16.0
Smart Electric,2021,11,0.2,,30.0,25.0
Subaru Crosstrek Plug-In Hybrid,2020,244,6.3,,18.0,
Subaru Crosstrek Plug-In Hybrid,2021,360,6.6,,22.0,18.0
Subaru Crosstrek Plug-In Hybrid,2022,265,4.6,,32.0,22.0
Subaru Crosstrek Plug-In Hybrid,2023,26,1.0,,38.0,32.0
Subaru Solterra,2022,73,1.3,,38.0,
Subaru Solterra,2023,453,17.1,,16.0,38.0
Tesla Model 3,2019,8533,253.9,-64.30000000000001,1.0,
Tesla Model 3,2020,10935,280.2,-64.30000000000001,1.0,1.0
Tesla Model 3,2021,15841,290.6,-64.30000000000001,1.0,1.0
Tesla Model 3,2022,10915,189.6,-64.30000000000001,1.0,1.0
Tesla Model 3,2023,3894,146.9,-64.30000000000001,1.0,1.0
Tesla Model Y,2023,286,10.8,,23.0,
Toyota Mirai,2022,10,0.2,,45.0,
Toyota Mirai,2023,2,0.1,,44.0,45.0
Toyota Prius Prime,2019,5346,159.1,-114.5,2.0,
Toyota Prius Prime,2020,4747,121.7,-114.5,2.0,2.0
Toyota Prius Prime,2021,5191,95.2,-114.5,3.0,2.0
Toyota Prius Prime,2022,2568,44.6,-114.5,7.0,3.0
Toyota Prius Prime,2023,237,8.9,-114.5,26.0,7.0
Toyota RAV4 Prime,2020,845,21.7,,14.0,
Toyota RAV4 Prime,2021,3982,73.0,,4.0,14.0
Toyota RAV4 Prime,2022,1475,25.6,,13.0,4.0
Toyota RAV4 Prime,2023,1812,68.4,,4.0,13.0
Toyota bZ4X,2022,389,6.8,,27.0,
Toyota bZ4X,2023,1051,39.6,,8.0,27.0
Volkswagen ID.4,2021,399,7.3,,21.0,
Volkswagen ID.4,2022,1820,31.6,,10.0,21.0
Volkswagen ID.4,2023,1340,50.6,,7.0,10.0
Volkswagen e-Golf,2019,839,25.0,-24.9,11.0,
Volkswagen e-Golf,2020,1033,26.5,-24.9,10.0,11.0
Volkswagen e-Golf,2021,544,10.0,-24.9,18.0,10.0
Volkswagen e-Golf,2022,4,0.1,-24.9,47.0,18.0
Volkswagen e-Golf,2023,2,0.1,-24.9,44.0,47.0
Volvo C40,2022,340,5.8999999999999995,,30.0,
Volvo C40,2023,751,28.299999999999997,,10.0,30.0
Volvo C40 Recharge,2022,36,0.6,,40.0,
Volvo C40 Recharge,2023,13,0.5,,40.0,40.0
Volvo V60,2022,9,0.2,,46.0,
Volvo V60,2023,6,0.2,,43.0,46.0
Volvo V60 Recharge,2022,1,0.0,,48.0,
